PIXEL,LATITUDE,LONGITUDE
463,41.2260616,-73.98320941
464,41.22316496,-73.97131299
465,41.22026704,-73.95941766
466,41.21736785,-73.94752342
467,41.21446738,-73.93563028
468,41.21156564,-73.92373823
469,41.20866261,-73.91184728
470,41.20575832,-73.89995743
471,41.20285274,-73.88806867
472,41.1999459,-73.87618101
473,41.19703777,-73.86429445
474,41.19412837,-73.85240898
475,41.1912177,-73.84052462
476,41.18830575,-73.82864135
477,41.32903398,-74.45179583
478,41.32618771,-74.43985851
479,41.32334015,-74.42792228
480,41.32049131,-74.41598713
481,41.31764119,-74.40405307
482,41.31478978,-74.39212008
483,41.31193709,-74.38018818
484,41.30908312,-74.36825735
485,41.30622786,-74.35632762
486,41.30337132,-74.34439896
487,41.30051349,-74.33247139
488,41.29765439,-74.3205449
489,41.294794,-74.3086195
490,41.29193233,-74.29669518
491,41.28906938,-74.28477195
492,41.28620515,-74.2728498
493,41.28333963,-74.26092874
494,41.28047284,-74.24900876
495,41.27760476,-74.23708987
496,41.2747354,-74.22517206
497,41.27186476,-74.21325535
498,41.26899284,-74.20133972
499,41.26611964,-74.18942518
500,41.26324516,-74.17751172
501,41.26036941,-74.16559936
502,41.25749237,-74.15368808
503,41.25461405,-74.1417779
504,41.25173445,-74.1298688
505,41.24885357,-74.11796079
506,41.24597141,-74.10605387
507,41.24308798,-74.09414804
508,41.24020326,-74.08224331
509,41.23731727,-74.07033966
510,41.23443,-74.05843711
511,41.23154145,-74.04653564
512,41.22865163,-74.03463527
513,41.22576052,-74.02273599
514,41.22286814,-74.01083781
515,41.21997448,-73.99894071
516,41.21707954,-73.98704472
517,41.21418333,-73.97514981
518,41.21128584,-73.963256
519,41.20838707,-73.95136328
520,41.20548703,-73.93947166
521,41.20258571,-73.92758113
522,41.19968311,-73.9156917
523,41.19677924,-73.90380336
524,41.1938741,-73.89191612
525,41.19096767,-73.88002998
526,41.18805998,-73.86814493
527,41.185151,-73.85626098
528,41.18224076,-73.84437813
529,41.17932923,-73.83249637
530,41.32003538,-74.45557042
531,41.31718953,-74.44363464
532,41.31434239,-74.43169995
533,41.31149397,-74.41976633
534,41.30864426,-74.4078338
535,41.30579327,-74.39590235
536,41.302941,-74.38397198
537,41.30008745,-74.3720427
538,41.29723261,-74.36011449
539,41.29437649,-74.34818737
540,41.29151909,-74.33626133
541,41.2886604,-74.32433638
542,41.28580043,-74.31241251
543,41.28293918,-74.30048972
544,41.28007665,-74.28856802
545,41.27721284,-74.2766474
546,41.27434775,-74.26472787
547,41.27148137,-74.25280942
548,41.26861372,-74.24089206
549,41.26574478,-74.22897579
550,41.26287457,-74.2170606
551,41.26000307,-74.2051465
552,41.25713029,-74.19323348
553,41.25425623,-74.18132156
554,41.2513809,-74.16941072
555,41.24850428,-74.15750097
556,41.24562638,-74.14559231
557,41.24274721,-74.13368474
558,41.23986675,-74.12177825
559,41.23698502,-74.10987286
560,41.23410201,-74.09796856
561,41.23121772,-74.08606534
562,41.22833215,-74.07416322
563,41.2254453,-74.06226219
564,41.22255718,-74.05036225
565,41.21966778,-74.0384634
566,41.2167771,-74.02656564
567,41.21388514,-74.01466898
568,41.2109919,-74.0027734
569,41.20809739,-73.99087893
570,41.20520161,-73.97898554
571,41.20230454,-73.96709325
572,41.1994062,-73.95520205
573,41.19650658,-73.94331194
574,41.19360569,-73.93142294
575,41.19070352,-73.91953502
576,41.18780007,-73.9076482
577,41.18489535,-73.89576248
578,41.18198936,-73.88387785
579,41.17908209,-73.87199432
580,41.17617354,-73.86011188
581,41.17326372,-73.84823055
582,41.17035263,-73.8363503
583,41.31103669,-74.45934393
584,41.30819125,-74.44740969
585,41.30534453,-74.43547653
586,41.30249653,-74.42354445
587,41.29964724,-74.41161346
588,41.29679667,-74.39968354
589,41.29394482,-74.38775471
590,41.29109169,-74.37582696
591,41.28823727,-74.36390028
592,41.28538157,-74.3519747
593,41.28252458,-74.34005019
594,41.27966632,-74.32812677
595,41.27680677,-74.31620443
596,41.27394594,-74.30428317
597,41.27108383,-74.292363
598,41.26822044,-74.28044392
599,41.26535577,-74.26852591
600,41.26248982,-74.256609
601,41.25962258,-74.24469317
602,41.25675407,-74.23277842
603,41.25388427,-74.22086476
604,41.2510132,-74.20895219
605,41.24814084,-74.1970407
606,41.24526721,-74.1851303
607,41.24239229,-74.17322099
608,41.2395161,-74.16131277
609,41.23663863,-74.14940563
610,41.23375988,-74.13749958
611,41.23087984,-74.12559463
612,41.22799853,-74.11369076
613,41.22511595,-74.10178798
614,41.22223208,-74.08988629
615,41.21934693,-74.07798569
616,41.21646051,-74.06608618
617,41.21357281,-74.05418776
618,41.21068383,-74.04229043
619,41.20779358,-74.0303942
620,41.20490205,-74.01849905
621,41.20200924,-74.006605
622,41.19911515,-73.99471204
623,41.19621979,-73.98282018
624,41.19332315,-73.9709294
625,41.19042523,-73.95903972
626,41.18752604,-73.94715114
627,41.18462557,-73.93526364
628,41.18172383,-73.92337725
629,41.17882081,-73.91149194
630,41.17591652,-73.89960774
631,41.17301095,-73.88772462
632,41.1701041,-73.87584261
633,41.16719598,-73.86396169
634,41.16428659,-73.85208186
635,41.16137592,-73.84020314
636,41.3020379,-74.46311636
637,41.29919288,-74.45118366
638,41.29634658,-74.43925204
639,41.293499,-74.42732149
640,41.29065013,-74.41539203
641,41.28779998,-74.40346365
642,41.28494855,-74.39153635
643,41.28209583,-74.37961013
644,41.27924183,-74.367685
645,41.27638655,-74.35576094
646,41.27352999,-74.34383797
647,41.27067215,-74.33191608
648,41.26781302,-74.31999527
649,41.26495261,-74.30807555
650,41.26209092,-74.2961569
651,41.25922795,-74.28423935
652,41.2563637,-74.27232288
653,41.25349817,-74.26040749
654,41.25063136,-74.24849319
655,41.24776326,-74.23657997
656,41.24489389,-74.22466784
657,41.24202324,-74.21275679
658,41.2391513,-74.20084683
659,41.23627809,-74.18893796
660,41.2334036,-74.17703018
661,41.23052783,-74.16512348
662,41.22765078,-74.15321787
663,41.22477245,-74.14131334
664,41.22189284,-74.12940991
665,41.21901195,-74.11750757
666,41.21612979,-74.10560631
667,41.21324634,-74.09370614
668,41.21036162,-74.08180707
669,41.20747563,-74.06990908
670,41.20458835,-74.05801218
671,41.2016998,-74.04611638
672,41.19880996,-74.03422166
673,41.19591886,-74.02232804
674,41.19302647,-74.01043551
675,41.19013281,-73.99854407
676,41.18723787,-73.98665372
677,41.18434166,-73.97476446
678,41.18144417,-73.9628763
679,41.1785454,-73.95098923
680,41.17564536,-73.93910326
681,41.17274404,-73.92721838
682,41.16984145,-73.91533459
683,41.16693758,-73.9034519
684,41.16403244,-73.8915703
685,41.16112602,-73.8796898
686,41.15821833,-73.8678104
687,41.15530937,-73.85593209
